-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data
Dates (month/day/year): 01/01/2023 through 01/01/2024 in LST
Location: Latitude  -38.4   Longitude 147.4
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 4.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999
Parameter(s):
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s)
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees)
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s)
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees)
PS        MERRA-2 Surface Pressure (kPa)
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,WS10M,WD10M,PS
2023,1,1,0,5.34,71.6,4.27,71.4,101.07
2023,1,1,1,5.65,67.2,4.46,67.3,101.04
2023,1,1,2,5.81,62.6,4.51,62.8,101.02
2023,1,1,3,5.85,58.7,4.47,59.0,101.01
2023,1,1,4,5.82,55.8,4.39,56.2,101.03
2023,1,1,5,5.73,52.1,4.25,52.6,101.06
2023,1,1,6,5.51,51.4,4.05,51.8,101.09
2023,1,1,7,5.29,53.7,3.91,54.5,101.11
2023,1,1,8,5.21,54.4,3.88,55.6,101.11
2023,1,1,9,5.02,57.7,3.8,59.3,101.1
2023,1,1,10,4.94,65.2,3.78,66.8,101.08
2023,1,1,11,5.29,75.1,4.02,76.2,101.04
2023,1,1,12,5.93,82.6,4.45,83.3,100.98
2023,1,1,13,6.68,86.5,4.98,87.0,100.93
2023,1,1,14,7.42,87.2,5.54,87.8,100.91
2023,1,1,15,7.96,85.8,5.97,86.4,100.87
2023,1,1,16,8.12,82.4,5.98,83.0,100.84
2023,1,1,17,7.93,78.6,5.71,78.8,100.85
2023,1,1,18,7.47,75.5,5.26,75.5,100.87
2023,1,1,19,7.1,73.6,4.84,73.2,100.87
2023,1,1,20,7.07,70.8,4.71,70.5,100.88
2023,1,1,21,7.11,64.3,4.73,64.2,100.86
2023,1,1,22,6.92,54.0,4.58,54.2,100.81
2023,1,1,23,6.73,44.4,4.34,44.4,100.76
2023,1,2,0,6.69,37.5,4.21,37.3,100.69
2023,1,2,1,6.6,30.4,4.1,30.2,100.64
2023,1,2,2,6.46,22.2,3.98,22.1,100.59
2023,1,2,3,6.48,10.8,3.96,12.0,100.58
2023,1,2,4,6.48,1.0,3.93,2.3,100.59
2023,1,2,5,7.11,352.1,4.15,353.9,100.62
2023,1,2,6,7.49,346.9,4.49,348.0,100.64
2023,1,2,7,7.65,345.9,4.65,347.2,100.63
2023,1,2,8,6.93,350.1,4.42,351.3,100.6
2023,1,2,9,6.66,356.8,4.32,357.9,100.56
2023,1,2,10,6.45,4.6,4.2,5.9,100.48
2023,1,2,11,5.82,15.0,3.8,15.9,100.37
2023,1,2,12,4.37,18.3,2.92,20.2,100.25
2023,1,2,13,0.91,343.4,0.56,346.5,100.23
2023,1,2,14,3.53,175.0,2.52,174.1,100.33
2023,1,2,15,6.23,144.0,4.68,142.4,100.36
2023,1,2,16,7.24,132.6,6.06,132.2,100.34
2023,1,2,17,6.73,159.6,5.84,158.8,100.41
2023,1,2,18,8.92,195.2,7.91,194.9,100.54
2023,1,2,19,9.87,204.5,8.78,204.1,100.56
2023,1,2,20,9.15,212.7,8.14,212.1,100.63
2023,1,2,21,7.81,216.8,6.98,216.4,100.73
